t,x,y
5.743,-66.10,-536.4
5.760,-85.51,-533.4
5.777,-102.8,-529.5
5.793,-119.9,-525.4
5.810,-134.4,-521.1
5.826,-148.8,-516.6
5.843,-161.4,-512.3
5.860,-172.6,-508.5
5.876,-181.8,-504.6
5.893,-189.5,-501.3
5.910,-195.2,-498.6
5.926,-199.6,-496.5
5.943,-202.1,-495.4
5.960,-202.7,-494.8
5.976,-201.4,-495.0
5.993,-198.4,-495.9
6.010,-193.4,-497.9
6.026,-187.5,-500.3
6.043,-179.0,-503.4
6.060,-168.6,-506.6
6.076,-157.6,-510.5
6.093,-144.5,-514.6
6.109,-130.5,-518.6
6.126,-113.4,-522.9
6.143,-97.59,-526.4
6.159,-78.25,-529.8
6.176,-59.49,-532.7
6.193,-39.10,-534.9
6.209,-19.43,-536.7
6.226,2.046,-537.9
6.243,19.11,-538.6
6.259,41.25,-537.7
6.276,60.76,-536.6
6.293,81.03,-534.8
6.309,97.44,-532.4
6.326,116.8,-529.6
6.343,135.4,-525.8
6.359,149.2,-522.4
6.376,163.3,-518.5
6.392,177.1,-514.5
6.409,188.8,-510.6
6.426,200.7,-506.9
6.442,208.9,-503.6
6.459,216.2,-500.6
6.476,222.2,-498.4
6.492,226.4,-496.9
6.509,228.9,-496.0
6.526,229.3,-495.7
6.542,228.4,-496.2
6.559,226.0,-497.6
6.576,221.5,-499.6
6.592,215.7,-502.4
6.609,208.2,-505.7
6.626,198.8,-509.6
6.642,188.0,-513.4
6.659,175.7,-517.5
6.675,162.7,-521.8
6.692,147.9,-525.9
6.709,131.9,-529.8
6.725,115.5,-532.9
6.742,95.60,-536.5
6.759,78.79,-539.0
6.775,59.35,-540.7
6.792,39.81,-541.8
6.809,17.90,-542.6
6.825,0.456,-541.8
6.842,-23.00,-541.5
6.859,-42.32,-539.7
6.875,-60.05,-537.0
6.892,-79.13,-533.9
6.909,-95.20,-530.0
6.925,-111.9,-526.1
6.942,-128.3,-521.7
6.958,-141.8,-517.7
6.975,-154.4,-513.6
6.992,-165.4,-509.6
7.008,-175.9,-506.5
7.025,-182.7,-503.0
7.042,-189.2,-500.5
7.058,-193.5,-498.3
7.075,-195.7,-496.8
7.092,-196.8,-496.3
7.108,-195.6,-496.5
7.125,-192.8,-497.5
7.142,-188.5,-499.5
7.158,-182.8,-501.7
7.175,-174.8,-504.4
7.192,-165.3,-507.8
7.208,-154.3,-511.3
7.225,-142.3,-515.5
7.241,-128.7,-519.4
7.258,-112.2,-523.1
7.275,-95.86,-526.7
7.291,-80.04,-530.4
7.308,-60.22,-533.0
7.325,-42.61,-535.4
7.341,-23.80,-537.6
7.358,-2.221,-538.7
7.375,15.77,-539.4
7.391,37.17,-538.8
7.408,54.52,-537.7
7.425,72.91,-536.4
7.441,94.23,-533.8
7.458,109.7,-531.4
7.475,128.7,-527.9
7.491,143.0,-524.6
7.508,159.2,-520.7
7.524,173.3,-516.8
7.541,185.6,-512.8
7.558,195.3,-509.6
7.574,203.7,-506.6
7.591,211.8,-503.9
7.608,217.6,-501.7
7.624,221.8,-499.9
7.641,224.0,-499.1
7.658,224.6,-498.8
7.674,223.6,-499.3
7.691,221.2,-500.4
7.708,217.0,-502.3
7.724,211.6,-504.8
7.741,204.3,-507.5
7.758,194.9,-511.4
7.774,185.6,-514.9
7.791,174.1,-518.5
7.807,161.2,-522.7
7.824,146.4,-526.6
7.841,130.3,-530.4
7.857,114.2,-533.6
7.874,96.98,-536.8
7.891,76.24,-539.6
7.907,60.43,-540.8
7.924,38.79,-542.6
7.941,20.04,-542.8
7.957,1.394,-542.6
7.974,-19.97,-541.5
7.991,-38.48,-539.6
8.007,-57.27,-537.5
8.024,-75.52,-534.5
8.041,-91.92,-530.9
8.057,-110.2,-527.5
8.074,-122.6,-523.0
8.090,-138.6,-519.4
8.107,-150.6,-515.3
8.124,-161.0,-511.5
8.140,-170.8,-508.3
8.157,-177.4,-505.0
8.174,-183.6,-502.4
8.190,-187.8,-500.2
8.207,-190.0,-499.1
8.224,-191.1,-498.4
8.240,-190.3,-498.6
8.257,-188.0,-499.5
8.274,-183.7,-500.8
8.290,-177.5,-503.1
8.307,-170.0,-505.7
8.324,-160.3,-508.5
8.340,-149.0,-512.0
8.357,-137.2,-515.7
8.373,-123.3,-519.1
8.390,-108.3,-523.1
8.407,-93.55,-526.6
8.423,-75.69,-529.7
8.440,-58.03,-532.7
8.457,-39.00,-534.9
8.473,-20.77,-536.6
8.490,-0.695,-537.8
8.507,17.18,-538.3
8.523,36.74,-538.6
8.540,56.52,-537.6
8.557,74.21,-536.4
8.573,93.58,-533.7
8.590,110.2,-531.4
8.607,126.7,-528.7
8.623,141.4,-525.5
8.640,156.3,-521.8
8.656,168.7,-518.7
8.673,179.3,-515.5
8.690,188.7,-512.5
8.706,197.1,-509.5
8.723,205.2,-506.8
8.740,210.6,-504.8
8.756,214.8,-503.1
8.773,216.9,-502.0
8.790,217.8,-501.9
8.806,217.0,-502.4
8.823,214.7,-503.5
8.840,210.7,-505.2
8.856,205.2,-507.5
8.873,198.2,-510.3
8.890,189.9,-513.6
8.906,180.2,-516.8
8.923,168.8,-520.5
8.939,155.7,-524.5
8.956,142.8,-527.9
8.973,127.2,-531.4
8.989,111.1,-534.6
9.006,93.64,-537.5
9.023,76.73,-539.7
9.039,59.77,-540.9
9.056,39.14,-542.5
9.073,20.43,-542.6
9.089,1.114,-542.6
9.106,-19.56,-541.4
9.123,-36.68,-539.7
9.139,-54.58,-537.5
9.156,-72.57,-534.5
9.173,-89.62,-531.4
9.189,-104.7,-527.7
9.206,-118.7,-523.9
9.222,-131.9,-520.1
9.239,-145.0,-516.3
9.256,-155.5,-512.6
9.272,-165.3,-509.3
9.289,-171.8,-506.1
9.306,-178.0,-503.6
9.322,-182.3,-501.6
9.339,-184.9,-500.5
9.356,-185.8,-499.8
9.372,-184.9,-500.0
9.389,-182.9,-500.7
9.406,-178.8,-502.0
9.422,-172.7,-503.9
9.439,-165.2,-506.5
9.456,-156.0,-509.6
9.472,-146.0,-512.9
9.489,-134.2,-516.5
9.505,-120.7,-519.9
9.522,-106.2,-523.5
9.539,-90.27,-526.8
9.555,-73.26,-529.9
9.572,-56.19,-532.7
9.589,-39.34,-535.5
9.605,-20.22,-537.0
9.622,-0.715,-537.7
9.639,16.67,-538.6
9.655,35.06,-538.6
9.672,55.40,-537.8
9.689,72.58,-536.7
9.705,90.06,-534.7
9.722,106.2,-532.4
9.739,122.5,-529.9
9.755,137.5,-526.7
9.772,150.4,-523.5
9.788,161.8,-520.5
9.805,173.4,-517.5
9.822,183.2,-514.4
9.838,192.1,-511.8
9.855,198.5,-509.5
9.872,204.3,-507.8
9.888,208.5,-506.1
9.905,210.9,-505.0
9.922,211.6,-504.7
9.938,210.9,-505.2
9.955,208.7,-506.2
9.972,204.9,-508.0
9.988,199.3,-509.9
10.005,192.6,-512.4
10.022,184.3,-515.4
10.038,175.1,-518.6
10.055,164.1,-522.0
10.071,151.1,-525.6
10.088,138.3,-528.7
10.105,123.7,-531.8
10.121,108.5,-534.6
10.138,93.00,-536.9
10.155,76.48,-538.9
10.171,58.33,-540.7
10.188,40.29,-541.8
10.205,22.40,-541.8
10.221,2.707,-541.7
10.238,-15.74,-540.5
10.255,-32.75,-538.8
10.271,-51.57,-536.6
10.288,-67.34,-534.0
10.305,-84.61,-530.7
10.321,-100.2,-527.5
10.338,-113.9,-523.8
10.354,-127.7,-520.3
10.371,-139.0,-516.5
10.388,-149.0,-513.0
10.404,-158.4,-509.7
10.421,-165.8,-506.7
10.438,-171.5,-504.3
10.454,-175.5,-502.6
10.471,-178.3,-501.5
10.488,-179.0,-501.0
10.504,-178.3,-500.9
10.521,-176.0,-501.9
10.538,-172.4,-503.2
10.554,-166.6,-505.2
10.571,-159.2,-507.8
10.588,-150.4,-510.5
10.604,-139.9,-513.8
10.621,-128.2,-516.9
10.637,-116.1,-520.5
10.654,-101.3,-524.0
10.671,-85.49,-527.0
10.687,-69.28,-529.9
10.704,-52.66,-532.6
10.721,-34.78,-534.7
10.737,-17.37,-536.6
10.754,1.851,-537.8
10.771,18.70,-538.7
10.787,36.64,-538.6
10.804,55.54,-537.8
10.821,72.34,-536.6
10.837,89.98,-535.1
10.854,105.9,-533.0
10.871,120.0,-530.7
10.887,134.5,-527.7
10.904,147.4,-524.7
10.920,159.6,-521.8
10.937,170.9,-518.8
10.954,180.4,-515.8
10.970,188.1,-513.6
10.987,194.2,-511.2
11.004,199.6,-509.6
11.020,203.3,-508.1
11.037,205.6,-507.3
11.054,206.3,-507.1
11.070,205.8,-507.5
11.087,203.5,-508.6
11.104,199.7,-510.1
11.120,194.6,-512.0
11.137,187.8,-514.3
11.154,179.5,-517.3
11.170,170.5,-520.3
11.187,159.2,-523.6
11.203,147.8,-526.9
11.220,134.4,-529.7
11.237,120.3,-532.7
11.253,104.5,-535.6
11.270,89.99,-537.9
11.287,73.26,-539.6
11.303,56.36,-540.8
11.320,38.44,-541.8
11.337,19.22,-542.3
11.353,2.304,-541.5
11.370,-15.37,-540.6
11.387,-32.39,-539.0
11.403,-49.91,-537.1
11.420,-67.96,-534.4
11.437,-83.70,-531.3
11.453,-97.65,-528.0
11.470,-112.1,-524.6
11.486,-124.5,-520.7
11.503,-135.0,-517.1
11.520,-145.6,-513.7
11.536,-154.5,-510.8
11.553,-161.3,-508.1
11.570,-166.9,-505.5
11.586,-170.4,-503.8
11.603,-172.5,-502.7
11.620,-173.5,-502.2
11.636,-172.7,-502.4
11.653,-170.3,-503.3
11.670,-166.3,-504.6
11.686,-160.7,-506.5
11.703,-154.0,-508.9
11.720,-144.8,-511.4
11.736,-134.6,-514.5
11.753,-123.4,-517.8
11.769,-111.6,-521.2
11.786,-97.49,-524.7
11.803,-82.21,-527.8
11.819,-66.81,-530.6
11.836,-50.77,-533.4
11.853,-33.78,-535.5
11.869,-17.49,-537.5
11.886,0.664,-538.7
11.903,20.04,-539.0
11.919,37.45,-538.7
11.936,53.61,-538.5
11.953,71.44,-536.8
11.969,87.44,-535.6
11.986,102.6,-533.7
12.003,117.2,-531.4
12.019,132.0,-528.9
12.036,144.7,-526.0
12.052,155.5,-523.5
12.069,165.9,-520.8
12.086,175.1,-518.1
12.102,182.3,-515.7
12.119,188.7,-513.7
12.136,193.7,-511.9
12.152,197.3,-510.4
12.169,199.5,-510.0
12.186,200.0,-509.7
12.202,199.1,-510.2
12.219,197.0,-511.3
12.236,193.1,-512.7
12.252,188.3,-514.6
12.269,182.1,-517.1
12.286,174.2,-519.5
12.302,164.7,-522.4
12.319,154.5,-525.4
12.335,142.6,-528.5
12.352,129.7,-531.4
12.369,116.8,-533.9
12.385,100.7,-536.7
12.402,85.69,-538.7
12.419,68.85,-540.6
12.435,53.29,-541.6
12.452,35.24,-542.4
12.469,17.91,-542.6
12.485,1.478,-541.8
12.502,-15.82,-540.8
12.519,-31.59,-538.9
12.535,-48.92,-536.7
12.552,-64.38,-534.1
12.569,-79.84,-530.9
12.585,-94.31,-527.8
12.602,-108.3,-524.5
12.618,-119.9,-520.8
12.635,-131.3,-517.6
12.652,-141.0,-514.6
12.668,-148.9,-511.7
12.685,-155.8,-508.9
12.702,-161.0,-507.0
12.718,-165.1,-505.4
12.735,-167.1,-504.2
12.752,-167.9,-503.7
12.768,-167.1,-504.0
12.785,-164.7,-504.7
12.802,-160.3,-506.0
12.818,-154.6,-507.5
12.835,-147.2,-510.1
12.852,-138.9,-512.8
12.868,-129.2,-515.8
12.885,-117.5,-518.6
12.901,-105.4,-522.0
12.918,-91.36,-524.9
12.935,-76.82,-527.8
12.951,-61.78,-530.6
12.968,-46.56,-533.4
12.985,-30.44,-535.5
13.001,-13.07,-536.9
13.018,3.748,-538.5
13.035,21.16,-538.7
13.051,38.45,-538.7
13.068,54.55,-538.6
13.085,70.75,-537.7
13.101,86.02,-536.5
13.118,101.4,-534.6
13.135,114.4,-532.4
13.151,128.7,-529.9
13.168,141.4,-526.9
13.184,151.7,-524.5
13.201,162.5,-521.9
13.218,170.6,-519.4
13.234,177.7,-517.5
13.251,183.7,-515.7
13.268,188.6,-514.1
13.284,191.7,-512.8
13.301,193.5,-512.4
13.318,194.0,-512.5
