t,x,y
2.347,242.3,-520.7
2.364,237.4,-522.9
2.380,231.2,-525.6
2.397,223.5,-529.1
2.414,213.6,-532.8
2.430,203.5,-536.8
2.447,191.7,-541.3
2.464,178.7,-545.9
2.480,164.3,-550.0
2.497,149.4,-554.6
2.514,133.3,-558.6
2.530,116.5,-562.8
2.547,98.92,-566.0
2.564,80.63,-568.9
2.580,61.96,-571.1
2.597,42.13,-572.7
2.613,22.79,-574.0
2.630,3.581,-574.4
2.647,-15.80,-574.1
2.663,-34.59,-573.1
2.680,-53.89,-571.5
2.697,-71.79,-569.0
2.713,-89.49,-566.6
2.730,-106.3,-563.3
2.747,-122.2,-560.0
2.763,-137.6,-556.2
2.780,-151.6,-552.5
2.797,-164.3,-548.8
2.813,-175.9,-544.7
2.830,-186.3,-541.0
2.847,-195.7,-537.4
2.863,-203.1,-534.7
2.880,-209.7,-532.2
2.896,-214.0,-530.0
2.913,-217.8,-528.4
2.930,-219.7,-527.7
2.946,-220.4,-527.5
2.963,-219.7,-527.7
2.980,-217.6,-528.6
2.996,-214.0,-530.0
3.013,-209.5,-532.4
3.030,-202.8,-534.7
3.046,-195.4,-537.7
3.063,-186.1,-541.3
3.080,-175.3,-545.2
3.096,-164.4,-548.6
3.113,-151.7,-552.3
3.130,-137.6,-556.5
3.146,-122.9,-560.2
3.163,-107.1,-563.7
3.179,-90.53,-566.7
3.196,-73.32,-569.9
3.213,-55.63,-571.8
3.229,-36.79,-573.1
3.246,-18.43,-574.1
3.263,0.844,-574.5
3.279,19.66,-574.3
3.296,38.51,-573.6
3.313,58.21,-571.7
3.329,77.04,-569.6
3.346,95.09,-566.9
3.363,112.5,-563.7
3.379,129.0,-560.0
3.396,145.1,-556.0
3.413,159.7,-552.0
3.429,173.6,-547.7
3.446,186.0,-543.4
3.462,197.7,-539.3
3.479,208.5,-535.5
3.496,217.6,-531.8
3.512,224.9,-528.5
3.529,231.4,-525.8
3.546,236.7,-523.3
3.562,240.4,-521.6
3.579,242.6,-520.6
3.596,243.2,-520.1
3.612,242.8,-520.4
3.629,240.9,-521.4
3.646,237.6,-522.9
3.662,232.7,-525.0
3.679,226.7,-527.5
3.696,219.3,-530.9
3.712,210.8,-534.3
3.729,200.5,-538.6
3.745,189.4,-542.7
3.762,176.5,-547.1
