Grupo,Gramaje promedio (g/m²),ΔGramaje,b,Δb
Liviana,130.86600812558325,10.82041297999029,0.48137469083746187,0.02815793538250763
Media,162.59614002220616,0.7900795234409089,0.36816452936220145,0.024804059729861473
Pesada,249.57086831529395,4.254287572071267,0.3875820199726802,0.01232172883276654
